Tiempo,Y_esclavo
169.05,-2.6736186643196715
169.06,-2.690848646566039
169.07,-2.707846517829753
169.08,-2.724610118978221
169.09,-2.7411373101755934
169.1,-2.7574259711813216
169.11,-2.773474001641458
169.12,-2.7892793213728027
169.13,-2.804839870639996
169.14000000000001,-2.8201536104256513
169.15,-2.835218522693632
169.16,-2.8500326106455627
169.17000000000002,-2.8645938989706727
169.18,-2.8789004340890667
169.19,-2.8929502843885144
169.20000000000002,-2.906741540454851
169.21,-2.920272315296081
169.22,-2.9335407445602724
169.23,-2.946544986747336
169.24,-2.959283223414773
169.25,-2.971753659377479
169.26,-2.9839545229016906
169.27,-2.9958840658931636
169.28,-3.007540564079659
169.29,-3.018922317187829
169.3,-3.0300276491145794
169.31,-3.0408549081010774
169.32,-3.0514024672619127
169.33,-3.0616687261343927
169.34,-3.0716521095008904
169.35,-3.0813510666543125
169.36,-3.090764071702014
169.37,-3.099889623861849
169.38,-3.1087262477504547
169.39000000000001,-3.117272493663894
169.4,-3.125526937850755
169.41,-3.1334881827778167
169.42000000000002,-3.1411548573883894
169.43,-3.1485256173534326
169.44,-3.155599145315554
169.45000000000002,-3.1623741511259933
169.46,-3.168849372074693
169.47,-3.1750235731135543
169.48,-3.180895547072977
169.49,-3.1864641148717863
169.5,-3.1917281257206356
169.51,-3.1966864573189895
169.52,-3.201338016045776
169.53,-3.205681737143803
169.54,-3.209716584898033
169.55,-3.2134415528078057
169.56,-3.216855663753103
169.57,-3.219957970154937
169.58,-3.222747554129961
169.59,-3.2252235276393844
169.6,-3.2273850326322746
169.61,-3.22923124118334
169.62,-3.2307613556252726
169.63,-3.2319746086757335
169.64000000000001,-3.2328702635590676
169.65,-3.2334476141228237
169.66,-3.2337059849491663
169.67000000000002,-3.233644731461254
169.68,-3.2332632400617474
169.69,-3.232560928479271
169.70000000000002,-3.231537246020769
169.71,-3.230191672825016
169.72,-3.228523719954369
169.73,-3.226532929561763
169.74,-3.224218875051648
169.75,-3.2215811612349547
169.76,-3.2186194244781734
169.77,-3.2153333328466442
169.78,-3.211722586242143
169.79,-3.2077869165348485
169.8,-3.2035260876897813
169.81,-3.1989398958877935
169.82,-3.1940281696411987
169.83,-3.188790769904124
169.84,-3.1832275901776645
169.85,-3.177338556609923
169.86,-3.1711236280910122
169.87,-3.1645827963431072
169.88,-3.1577160860056126
169.89000000000001,-3.150523554715533
169.9,-3.1430052931831187
169.91,-3.135161425262864
169.92000000000002,-3.1269921080199286
169.93,-3.1184975317920594
169.94,-3.109677920247083
169.95000000000002,-3.1005335304360444
169.96,-3.0910646528420562
169.97,-3.0812716114249348
169.98,-3.0711547636616894
169.99,-3.0607145005829306
170.0,-3.04995124680527
170.01,-3.038865460559775
170.02,-3.027457633716542
170.03,-3.0157282918036916
170.04,-3.003677993962776
170.05,-2.9913073326790895
170.06,-2.9786169336948625
170.07,-2.9656074560651464
170.08,-2.9522795921692824
170.09,-2.9386340677188065
170.1,-2.9246716417618495
170.11,-2.910393106684097
170.12,-2.895799288206367
170.13,-2.880891045378857
170.14000000000001,-2.86566927057213
170.15,-2.850134889464881
170.16,-2.8342888610285537
170.17000000000002,-2.8181321775088533
